ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2069-11-08,2069-Nov-08 21:29,3151171740000,4.2454176851,15283.5036662481,9496.5748197307,0.4647282185,180.7792769965,69522351.616494595,43199186.121611611,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2086-03-11,2086-Mar-11 22:55,3666725700000,4.2258643769,15213.1117567663,9452.8360246418,0.3713100271,144.4396005419,55547189.163802277,34515422.8449623426,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2093-01-31,2093-Jan-31 15:47,3884255220000,5.9749136221,21509.6890394877,13365.2842812306,0.1824638842,70.9784509538,27296208.428246654,16961077.4217016652,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2100-01-16,2100-Jan-16 11:39,4103782740000,6.0149196633,21653.7107877231,13454.7737947383,0.2038791175,79.3089767075,30499881.715479725,18951747.693781205,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2106-12-04,2106-Dec-04 02:22,4320872520000,3.8530305141,13870.9098509079,8618.8439570822,0.3922912542,152.6012978838,58685936.047948554,36465749.7209118852,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2123-04-10,2123-Apr-10 05:51,4836779460000,3.7537243254,13513.4075714592,8396.7059434992,0.4497028378,174.9344039042,67274586.667835486,41802489.7481862668,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2130-02-14,2130-Feb-14 22:11,5053011060000,6.0381849282,21737.4657416866,13506.8158659941,0.2781645724,108.2060186636,41612827.540500788,25857012.0280873544,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2137-01-25,2137-Jan-25 14:12,5272179120000,5.8142759703,20931.393493074,13005.9539179604,0.1494623094,58.1408383566,22359243.131520978,13893389.4368983764,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2144-01-03,2144-Jan-03 10:26,5491103160000,5.7943538473,20859.6738502169,12961.3901209861,0.296580393,115.369772877,44367795.07656291,27568869.475111758,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2150-11-12,2150-Nov-12 07:12,5707523520000,4.1745035914,15028.2129289863,9337.9470835693,0.4609447583,179.3075109787,68956354.029344821,42847491.5292516898,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2167-03-16,2167-Mar-16 05:30,6223152600000,4.026253601,14494.512963503,9006.3266800166,0.3774337428,146.8217259492,56463283.989007836,35084657.7735706968,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2174-02-03,2174-Feb-03 01:30,6440520600000,6.0055431713,21619.9554168322,13433.7995199755,0.1884002692,73.2877047188,28184278.979746604,17512898.8741029752,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2181-01-17,2181-Jan-17 20:55,6660046500000,5.9898389294,21563.4201458554,13398.6707011844,0.1980108125,77.0262060625,29621995.786969375,18406254.672652375,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2187-12-06,2187-Dec-06 23:28,6877265280000,3.9833820614,14340.1754211404,8910.4273332081,0.3873137309,150.6650413201,57941309.164393183,36003060.0306766054,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,1909-08-21,1909-Aug-21 15:04,-1904892960000,3.4460290151,12405.7044543097,7708.4223038459,1.7087741683,664.7131514687,255628975.888701521,158840480.0863061498,Juptr
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,1911-09-08,1911-Sep-08 08:15,-1840290300000,7.1848430308,25865.4349107149,16071.7753754939,0.2054817435,79.9323982215,30739631.151486345,19100721.085327761,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,1941-09-08,1941-Sep-08 16:50,-893488200000,7.3096055098,26314.5798352299,16350.8565648405,0.2056683545,80.0049899005,30767547.759604915,19118067.661241227,Earth
